MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
210095893,210095893,ED031000001,31/08/2015 13:15,Export varh Total,2.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 13:30,Export varh Total,2.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 13:45,Export varh Total,2.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 14:00,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 14:15,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 14:30,Export varh Total,2.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 14:45,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 15:00,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 15:15,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 15:30,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 15:45,Export varh Total,3.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 16:00,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 16:15,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 16:30,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 16:45,Export varh Total,3.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 17:00,Export varh Total,4.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 17:15,Export varh Total,3,kvarh,
210095893,210095893,ED031000001,31/08/2015 17:30,Export varh Total,2.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 17:45,Export varh Total,2.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 18:00,Export varh Total,3,kvarh,
210095893,210095893,ED031000001,31/08/2015 18:15,Export varh Total,2.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 18:30,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 18:45,Export varh Total,4,kvarh,
210095893,210095893,ED031000001,31/08/2015 19:00,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 19:15,Export varh Total,4.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 19:30,Export varh Total,4.6,kvarh,
210095893,210095893,ED031000001,31/08/2015 19:45,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 20:00,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 20:15,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 20:30,Export varh Total,3,kvarh,
210095893,210095893,ED031000001,31/08/2015 20:45,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:00,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:15,Export varh Total,3.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:30,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 21:45,Export varh Total,4,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:00,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:15,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:30,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 22:45,Export varh Total,3,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:00,Export varh Total,3.4,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:15,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:30,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 23:45,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:00,Export varh Total,4.2,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:15,Export varh Total,4,kvarh,
210095893,210095893,ED031000001,1/09/2015 0:30,Export varh Total,4.1,kvarh,
